tubenumber,metaltag,target,antibodyclone,stockconcentration,finalconcentrationdilution,ultoadd,ilastik,full,to_sort,,function_order
1289,In113,Histone H3,D1H2,200,4 ug/mL,3,1,1,113,1,1
1330,In115,SMA,1A4,200,1 ug/mL,0.75,1,1,115,2,11
1191,Pr141,Cytokeratin 5,EP1601Y,400,3 ug/mL,1.125,1,1,141,3,4
1322,Nd142,CD38,EPR4106,400,5 ug/mL,1.875,1,1,142,4,27
1323,Nd143,HLA-DR,TAL 1B5,350,3 ug/mL,1.285714286,1,1,143,5,19
1192,Nd144,Cytokeratin 8/18,C51,300,3 ug/mL,1.5,1,1,144,6,3
1222,Nd145,CD15,HI98,300,4 ug/mL,2,1,1,145,7,33
1223,Nd146,FSP1,Polyclonal FSP1,300,3 ug/mL,1.5,1,1,146,8,10
1377,Sm147,CD163,EDHu-1,500,5 ug/mL,1.5,1,1,147,9,31
1204,Nd148,CD278 (ICOS),D1K2T,500,6 ug/mL,1.8,0,1,148,,34
1324,Sm149,CD134,Ber-ACT35 (ACT35),400,5 ug/mL,1.875,0,1,149,,36
1357,Nd150,CD68,KP1,500,4 ug/mL,1.2,1,1,150,10,30
847,Eu151,c-erbB-2 - Her2,3B5,400,5 ug/mL,1.875,1,1,151,11,6
1285,Sm152,CD3,polyclonal_A0452,200,5 ug/mL,3.75,1,1,152,12,22
1002,Eu153,Podoplanin,NC-08,300,5 ug/mL,2.5,1,1,153,13,13
1286,Sm154,CD11c,EP1347Y,300,5 ug/mL,2.5,1,1,154,14,32
1104,Gd155,CD279 (PD-1),EPR4877(2),500,6 ug/mL,1.8,0,1,155,,35
1389,Gd156,GITR / TNFRSF18,Polyclonal_AF698,400,8 ug/mL,3,0,1,156,,37
1287,Gd158,CD16,EPR16784,200,5 ug/mL,3.75,1,1,158,15,29
1028,Tb159,c-erbB-2 - Her2,D8F12,300,6 ug/mL,3,1,1,159,16,7
1390,Gd160,CD45RA,HI100,400,3 ug/mL,1.125,1,1,160,17,21
1297,Dy161,Beta-2 Microglobulin,D8P1H,500,5 ug/mL,1.5,1,1,161,18,18
1317,Dy162,CD45,2B11,500,5 ug/mL,1.5,1,1,162,19,20
540,Dy163,FOXP3,236A/E7,200,6 ug/mL,4.5,0,1,163,,28
1332,Dy164,CD20,L26,400,4 ug/mL,1.5,1,1,164,20,23
813,Ho165,Rabbit IgG (H+L),polyclonal_AI-1000,200,2 ug/mL,1.5,1,1,165,21,5
1342,Er166,CD8a,C8/144B,500,5 ug/mL,1.5,1,1,166,22,25
1391,Er167,CD57,HNK-1,400,5 ug/mL,1.875,1,1,167,23,26
1375,Er168,Ki-67,B56,400,4 ug/mL,1.5,1,1,168,24,15
1338,Tm169,CD140b (PDGF Receptor beta),Y92,470,3 ug/mL,0.957446809,1,1,169,25,14
1350,Er170,Caveolin-1,D46G3,200,2 ug/mL,1.5,1,1,170,26,12
1121,Yb171,CD4,polyclonal_CD4_R&Dsystems,300,5 ug/mL,2.5,1,1,171,27,24
1336,Yb172,CD31_vWF,JC70A,400,4 ug/mL,1.5,1,1,172,28,9
1367,Yb173,CXCL12 / SDF-1,79018,400,5 ug/mL,1.875,1,1,173,29,8
1355,Yb174,HLA-ABC,EMR8-5,450,2 ug/mL,0.666666667,1,1,174,30,17
937,Lu175,pan Cytokeratin,polyclonal_pan Cytokeratin_Z0622,50,3 ug/mL,9,1,1,175,31,2
1327,Yb176,Cleaved Caspase3,C92-605,400,3 ug/mL,1.125,1,1,176,32,16
,Ir191,,,,,,1,1,191,33,
,Ir193,,,,,,1,1,193,34,
